guide_id,specialization,languages_spoken,experience_years,provider_id,review
1,Urban History,"English, Spanish, French",8,3,2
2,Cultural Heritage,"English, Italian, German",12,6,4
3,Local Cuisine,"English, Thai, Chinese",5,9,1
4,Wildlife Safari,"English, Swahili, French",15,12,5
5,Indigenous Culture,"English, Spanish, Portuguese",10,15,3
6,Marine Ecosystems,"English, French, Greek",7,18,1
7,Desert Exploration,"English, Arabic, French",9,21,2
8,Historical Architecture,"English, Spanish, German",14,24,4
9,Mountain Trekking,"English, Nepali, Hindi",11,27,3
10,Maritime History,"English, Greek, Italian",6,30,2
11,Wine Tourism,"English, French, Italian",13,33,5
12,Rainforest Ecology,"English, Spanish, Portuguese",8,36,1
13,Battlefield History,"English, French, German",17,39,3
14,Marine Wildlife,"English, Malay, Japanese",4,42,4
15,Photography Tours,"English, Icelandic, Danish",9,45,5
16,Art Galleries,"English, French, Dutch",12,48,2
17,Ancient Civilizations,"English, Spanish, Arabic",15,3,1
18,Street Food Tours,"English, Vietnamese, Thai",6,6,4
19,Bird Watching,"English, Spanish, Portuguese",11,9,3
20,Adventure Activities,"English, Nepali, Hindi",8,12,5
21,Religious Sites,"English, Hebrew, Arabic",14,15,1
22,Scuba Diving,"English, Italian, Greek",10,18,3
23,Nomadic Cultures,"English, Arabic, Berber",13,21,2
24,Colonial History,"English, Spanish, French",9,24,4
25,Alpine Climbing,"English, German, French",16,27,5
26,Traditional Crafts,"English, Japanese, Korean",7,30,1
27,Farm to Table,"English, Italian, Spanish",5,33,2
28,Indigenous Rights,"English, Portuguese, Spanish",12,36,3
29,Military History,"English, French, German",20,39,4
30,Coral Reefs,"English, Indonesian, Tagalog",8,42,5
31,Aurora Viewing,"English, Finnish, Norwegian",11,45,1
32,Urban Graffiti,"English, Portuguese, Spanish",6,48,2
33,Folk Traditions,"English, Hungarian, Romanian",9,3,5
34,Fishing Expeditions,"English, Norwegian, Swedish",14,6,3
35,Volcano Hiking,"English, Japanese, Spanish",10,9,4
36,Kayak Exploration,"English, French, Italian",7,12,2
37,Desert Astronomy,"English, Arabic, Spanish",12,15,1
38,Cave Exploration,"English, Thai, Malay",8,18,5
39,Bedouin Culture,"English, Arabic, Hebrew",15,21,3
40,Gothic Architecture,"English, French, German",13,24,4
41,Himalayan Cultures,"English, Nepali, Tibetan",11,27,2
42,Island Communities,"English, Greek, Turkish",6,30,1
43,Vineyard Management,"English, French, Spanish",9,33,3
44,Sustainable Tourism,"English, Portuguese, Spanish",8,36,5
45,War Memorials,"English, French, German",17,39,4
46,Whale Watching,"English, Japanese, Spanish",10,42,2
47,Wilderness Photography,"English, Norwegian, Swedish",12,45,1
48,Contemporary Design,"English, Italian, Dutch",8,48,3
49,Traditional Dance,"English, Spanish, Portuguese",11,3,5
50,Coffee Production,"English, Spanish, Portuguese",9,6,4
