category_id,category_name
1,Adventure
2,Cultural
3,Beach
4,Wildlife Safari
5,Urban Exploration
6,Mountain Trekking
7,Historical Tour
8,Culinary Experience
9,Wellness Retreat
10,Island Hopping
11,Photography Tour
12,Eco Tourism
13,Luxury Travel
14,Budget Travel
15,Family Friendly
16,Solo Travel
17,Honeymoon
18,Educational Tour
19,Religious Pilgrimage
20,Music Festival
21,Sports Event
22,Cruise
23,Road Trip
24,Camping
25,Winter Sports
26,Diving & Snorkeling
27,Hiking
28,Wine Tour
29,Volunteer Travel
30,Archaeological Tour
31,Backpacking
32,National Parks
33,UNESCO Heritage Sites
34,Festival & Celebrations
35,Art & Museum Tour
36,Desert Safari
37,Cycling Tour
38,Sailing
39,Bird Watching
40,Motorcycle Tour
41,Fishing Trip
42,Golf Tour
43,Spiritual Retreat
44,Rainforest Adventure
45,Farm Stay
46,Architectural Tour
47,Scenic Rail Journey
48,Yoga Retreat
49,Hot Air Balloon Tour
50,Northern Lights
