tag_id,tag_name,trip_id
1,"Adventure",101
2,"Cultural",101
3,"Food & Drink",101
4,"Historical",102
5,"Art",102
6,"Urban",102
7,"Archaeological",103
8,"Mountain",103
9,"Indigenous",103
10,"Modern",104
11,"Traditional",104
12,"Urban",104
13,"Scenic",105
14,"Wildlife",105
15,"Wine",105
16,"Nature",106
17,"Adventure",106
18,"Photography",106
19,"Cultural",107
20,"Shopping",107
21,"Rural",107
22,"City",108
23,"Beach",108
24,"Hiking",108
25,"Safari",109
26,"Wildlife",109
27,"Photography",109
28,"Cultural",110
29,"Historical",110
30,"Urban",110
31,"City",111
32,"Art",111
33,"Entertainment",111
34,"Cultural",112
35,"Music",112
36,"Rural",112
37,"Beach",113
38,"Romantic",113
39,"Relaxation",113
40,"Cultural",114
41,"Food & Drink",114
42,"Scenic",114
43,"Cultural",115
44,"Traditional",115
45,"Historical",115
46,"Architecture",116
47,"Art",116
48,"Food & Drink",116
49,"Historical",117
50,"Ancient",117
