keyword_id,keyword,activity_id
1,beach vacation,1
2,mountain hiking,2
3,paris tourism,3
4,safari adventure,4
5,budget travel,5
6,luxury resorts,6
7,family friendly,7
8,romantic getaway,8
9,historical sites,9
10,cultural experience,10
11,food tour,11
12,wildlife photography,12
13,scuba diving,13
14,skiing destinations,14
15,island hopping,15
16,backpacking europe,16
17,wine tasting,17
18,adventure sports,18
19,eco tourism,19
20,tropical paradise,20
21,ancient ruins,21
22,northern lights,22
23,road trip,23
24,city break,24
25,wellness retreat,25
26,volunteering abroad,26
27,photography tour,27
28,solo travel,28
29,group travel,29
30,senior travel,30
31,accessible tourism,31
32,digital nomad,32
33,off the beaten path,33
34,festival travel,34
35,pilgrimage sites,35
36,cruise vacation,36
37,train journey,37
38,architecture tour,38
39,art museums,39
40,local cuisine,40
41,shopping destinations,41
42,stargazing tours,42
43,cycling vacation,43
44,hiking trails,44
45,bird watching,45
46,camping sites,46
47,surfing spots,47
48,yoga retreat,48
49,meditation center,49
50,extreme adventure,50
