wishlist_entry_id,date_added,notes,trip_id,traveler_id
1,2024-03-15,Want to book this after summer,105,23
2,2024-03-17,Perfect for anniversary trip,118,45
3,2024-03-18,Looks amazing for family vacation,132,12
4,2024-03-20,"Great reviews, considering for next month",145,17
5,2024-03-22,Good price point for winter getaway,121,34
6,2024-03-24,"Interesting itinerary, might book soon",109,28
7,2024-03-26,Checking availability for spring break,156,15
8,2024-03-28,Friends recommended this tour,128,43
9,2024-03-30,Like the sustainability focus,117,29
10,2024-01-04,Considering for birthday trip,139,6
11,2024-03-04,Good option for solo travel,144,31
12,2024-05-04,Need to check flight options first,153,22
13,2024-07-04,Interesting cultural experience,126,19
14,2024-09-04,Love the eco-friendly options,112,11
15,2024-11-04,Great for photography enthusiasts,131,27
16,2024-04-13,Perfect timing for my vacation days,142,48
17,2024-04-15,Need to save a bit more first,124,39
18,2024-04-17,Hoping for a discount soon,108,3
19,2024-04-19,Need to check visa requirements,157,14
20,2024-04-21,Looks perfect for hiking,136,15
21,2024-04-23,Recommended by a colleague,119,22
22,2024-04-25,Good accommodation options,147,41
23,2024-04-27,Waiting for friend to confirm,123,9
24,2024-04-29,May need to adjust dates,134,16
25,2024-01-05,Considering for graduation celebration,111,23
26,2024-03-05,Love the included activities,141,35
27,2024-05-05,Need to check if kid-friendly,127,2
28,2024-07-05,Checking reviews on guide services,113,18
29,2024-09-05,Price seems reasonable for package,152,24
30,2024-11-05,Great food options included,138,47
31,2024-05-13,Interested in the cultural sites,122,13
32,2024-05-15,Need to check cancellation policy,149,18
33,2024-05-17,Love the sustainable tourism focus,133,7
34,2024-05-19,Would be perfect for group trip,116,32
35,2024-05-21,Need to research weather conditions,151,26
36,2024-05-23,Checking vaccination requirements,129,21
37,2024-05-25,Interested in the wildlife viewing,143,49
38,2024-05-27,Considering for honeymoon,114,14
39,2024-05-29,Researching local currency needs,137,28
40,2024-05-31,Need to check accessibility options,125,21
41,2024-06-02,Interested in the photography opportunities,158,33
42,2024-06-04,Checking travel insurance options,146,5
43,2024-06-06,Looking for additional excursions,132,17
44,2024-06-08,Checking medical facilities availability,115,19
45,2024-06-10,Need to learn some basic phrases first,154,42
46,2024-06-12,Checking mobile network coverage,128,8
47,2024-06-14,Need to buy suitable gear first,148,25
48,2024-06-16,Researching local customs,135,24
49,2024-06-18,Checking if fits with work schedule,122,36
50,2024-06-20,Need to renew passport first,159,1
